timestamp_ms,manual_purge_activated,o2_fill_activated,selector_switch_neutral_position,n20_fill_activated,ignition_fired,ignition_selected,gas_fill_selected,system_activated,estop
768323,0,0,0,0,0,0,1,1,0
771358,0,0,0,1,0,0,1,1,0
830383,0,0,0,0,0,0,0,1,0
833292,0,0,0,0,0,0,1,1,0
835266,0,0,0,1,0,0,1,1,0
1037334,0,0,0,0,0,0,0,1,0
1039237,0,0,0,0,0,0,1,1,0
1040468,0,0,0,1,0,0,1,1,0
1074155,0,0,0,0,0,0,0,1,0
1091205,0,0,0,0,0,1,0,1,0
1095549,0,1,0,0,0,1,0,1,0
1101207,0,1,0,0,1,1,0,1,0
1115257,0,0,0,0,0,1,0,1,0
1116558,0,1,0,0,0,1,0,1,0
1118342,0,1,0,0,1,1,0,1,0
1139193,0,0,0,0,0,0,0,1,0
1141291,0,0,0,0,0,1,0,1,0
1142384,0,1,0,0,0,1,0,1,0
1155322,0,1,0,0,1,1,0,1,0
1175588,0,0,0,0,0,0,0,1,0
1180321,0,0,0,0,0,0,0,1,1
